s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-3.6418530577350894,0.03919304178226201,-3.6672693829849456,0.9903427745102837,-3.667154440956388,0.99033314472617,-3.6439716440694405,0.03911919807117033,1.5408163265306123,0.6490066225165563
-3.6856090331203517,0.03773214613395886,-3.7617724718652292,0.9904641675925228,-3.7616575047657506,0.9904550264816788,-3.6874938673286377,0.037647908632854665,1.542857142857143,0.6481481481481481
-3.727463399946109,0.036102098741517236,-3.856027026589887,0.9905923390708045,-3.85591209729885,0.9905836928238193,-3.7290597577093214,0.03600915240891677,1.5448979591836736,0.6472919418758256
-3.7668525538792417,0.03431797587397666,-3.9500349266508503,0.9907251217080054,-3.949920095767446,0.9907169678918166,-3.76809821775583,0.03421824059673946,1.5469387755102042,0.646437994722955
-3.8030743197144234,0.03239663656149653,-4.043797726342509,0.9908602870494673,-4.043683051855422,0.9908526160122427,-3.803897405233422,0.03229226881338841,1.5489795918367348,0.6455862977602107
-3.835232695243239,0.03035700506656808,-4.13731665348092,0.99099559002953,-4.137202190844814,0.9909883856463885,-3.8355489309053747,0.030250407711500244,1.5510204081632653,0.6447368421052632
-3.8621593979016,0.028220537369683708,-4.230592614745925,0.9911288126695259,-4.230478416766617,0.9911220525223472,-3.861868847398979,0.028114381773039935,1.5530612244897959,0.6438896189224704
-3.8823015059023103,0.026011977818084096,-4.323626207100002,0.9912578057257475,-4.323512323341554,0.9912514611620319,-3.881284966653293,0.02590924348356455,1.5551020408163265,0.6430446194225722
-3.893561146581912,0.023760578698941784,-4.416417734492837,0.9913805275207468,-4.416304210346427,0.9913745641004605,-3.891677137961597,0.02366461640751293,1.5571428571428572,0.6422018348623854
-3.8930729997103595,0.021502058934938527,-4.5089672291039635,0.9914950795797953,-4.50885410499667,0.9914894580713639,-3.8901580056828893,0.02141668189010234,1.5591836734693878,0.6413612565445026
-3.8769201245777323,0.0192817174523602,-4.6012744766374265,0.9915997388375267,-4.601161787810857,0.9915944165426221,-3.872798998173565,0.019211314693150985,1.5612244897959184,0.6405228758169934
-3.8398541374951063,0.017159218370323994,-4.693339045375838,0.991692986112173,-4.693226822358873,0.9916879180120317,-3.834376886405949,0.017108847459568928,1.563265306122449,0.639686684073107
-3.7752934501106776,0.015215275402615866,-4.785160318721676,0.9917735302803687,-4.785048588201476,0.9917686695935356,-3.7684307511900705,0.015190584746129122,1.5653061224489797,0.6388526727509778
-3.6763748147733226,0.013558628070621472,-4.876737530669065,0.9918403274730949,-4.876626316267082,0.9918356255131824,-3.668413666562825,0.013565226272403797,1.5673469387755103,0.6380208333333333
-3.539502568454662,0.01232598850914557,-4.968069803333497,0.9918925946319873,-4.967959125865413,0.9918880002569262,-3.531311283811877,0.012367626080059053,1.569387755102041,0.6371911573472041
-3.3709046776645444,0.011658568227871983,-5.059156185352505,0.9919298171640191,-5.059046062499185,0.9919252762796242,-3.363967928132664,0.011734040993833612,1.5714285714285714,0.6363636363636364
-3.1908628865377824,0.011644674979613596,-5.149995690009405,0.991951750805406,-5.149886135670171,0.9919472062690898,-3.186643559240091,0.011745739857287265,1.573469387755102,0.6355382619974059
-3.026081234548369,0.012264097717183127,-5.24058733212723,0.991958418214445,-5.240478355869164,0.9919538101677934,-3.0251107708430953,0.012377795266243932,1.5755102040816327,0.6347150259067358
-2.8947562263375897,0.01339727576622156,-5.330930163171892,0.9919501008726462,-5.330821770043862,0.9919453672000736,-2.896549386437186,0.013511099951892546,1.5775510204081633,0.6338939197930142
-2.80110175241345,0.014889137455574733,-5.4210233042341045,0.9919273268009773,-5.420915494870595,0.9919224033327667,-2.8047826951389765,0.014994127284308593,1.579591836734694,0.6330749354005167
-2.7406308338475767,0.01660142361533822,-5.510865976639357,0.9918908543537546,-5.510758747287214,0.9918856746154406,-2.7454192745942287,0.016692195428579762,1.5816326530612246,0.632258064516129
-2.7063767160502694,0.018429294778452347,-5.600457529767412,0.9918416522824205,-5.600350871808256,0.9918361469493406,-2.7117226836961175,0.018502936472304932,1.5836734693877552,0.6314432989690721
-2.691945545289974,0.02029781327701595,-5.68979746547851,0.9917808763407803,-5.689691364257215,0.9917749728532204,-2.6974968329453923,0.02035289859676852,1.5857142857142859,0.6306306306306306
-2.6923194423801733,0.02215375812476914,-5.778885458476003,0.9917098429963541,-5.778779891631131,0.9917034658342954,-2.6978584299663435,0.022189730387489726,1.5877551020408165,0.6298200514138816
-2.703776634423562,0.023958659446576627,-5.867721372098616,0.9916300011219844,-5.867616307911883,0.9916230729630088,-2.709169948573578,0.023975490803267514,1.5897959183673471,0.6290115532734274
-2.7236009239688213,0.025683988302096332,-5.9563052693998495,0.9915429026862063,-5.9562006657047855,0.9915353462956843,-2.7287664344290747,0.02568199831937,1.5918367346938775,0.6282051282051282
-2.7498058478451832,0.027308054405936474,-6.044637419745601,0.991450173394366,-6.044533223690232,0.9914419137418747,-2.7546924147727974,0.027287813010385444,1.5938775510204082,0.6274007682458387
-2.780923005236047,0.028814039632554356,-6.132718301416398,0.9913534839100464,-6.132614449950871,0.991344449980889,-2.7854982972452844,0.028776313316960123,1.5959183673469388,0.6265984654731458
