s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-3.18714980878407,0.011581079045384907,-5.14999242221383,0.9919308390934808,-5.149872043065047,0.9919169178821187,-3.176299914922097,0.011744037123753088,1.573469387755102,0.6355382619974059
-3.020908770196076,0.012222034143289129,-5.240584573035994,0.9919372915170126,-5.240463201010869,0.9919250840666548,-3.015389903031871,0.012395164825775105,1.5755102040816327,0.6347150259067358
-2.8892976550275398,0.013379986809231898,-5.3309278634619295,0.9919287056874848,-5.330805760528877,0.991918341152056,-2.8878580749002896,0.013543239391336634,1.5775510204081633,0.6338939197930142
-2.7961453545636132,0.014895282113223614,-5.421021402981454,0.9919056259456092,-5.420898855095963,0.9918971860170399,-2.7971472451093597,0.01503639407603888,1.579591836734694,0.6330749354005167
-2.7365296702405946,0.016627417540936124,-5.510864405851276,0.9918688286961964,-5.510741714264709,0.9918623435023304,-2.738684985674274,0.016740715422747163,1.5816326530612246,0.632258064516129
-2.703212114293701,0.018470887490751358,-5.60045621907073,0.9918193012626157,-5.600333690675195,0.9918147468306686,-2.705699349038288,0.018554792313518285,1.5836734693877552,0.6314432989690721
-2.689669277629666,0.020350806737075997,-5.6897963466578005,0.9917582173165913,-5.689674283607463,0.9917555150891142,-2.692017443550915,0.020405953003906414,1.5857142857142859,0.6306306306306306
-2.6908330982849598,0.02221426776745052,-5.778884469577912,0.9916869095266108,-5.778763158818104,0.9916859283431175,-2.6927917542856683,0.022242402984704385,1.5877551020408165,0.6298200514138816
-2.7029686279316696,0.024023193232849144,-5.867720460870413,0.9916068403530531,-5.867600164474548,0.9916074009436463,-2.7044168812118214,0.024026583065826623,1.5897959183673471,0.6290115532734274
-2.7233619149733586,0.02574946653772725,-5.956304395875904,0.991519572073044,-5.956185343063789,0.9915214536056431,-2.7242528535321435,0.025730573570586057,1.5918367346938775,0.6282051282051282
-2.7500343726959757,0.027371814434136464,-6.044636557876178,0.99142673698825,-6.044518939217218,0.9914296848308108,-2.7503626413784303,0.027333117836977314,1.5938775510204082,0.6274007682458387
-2.7815269779502474,0.02887383783373809,-6.132717439681875,0.991330008492619,-6.132601403468996,0.9913337422602112,-2.781310027339579,0.028817726730710824,1.5959183673469388,0.6265984654731458
-2.816747361429891,0.030242757689207613,-6.220547741716262,0.9912310732972968,-6.220433392047126,0.9912352945411566,-2.8160145209026215,0.030171465507558688,1.5979591836734695,0.6257982120051085
-2.854863639717615,0.03146860115372045,-6.308128366920575,0.9911316049439799,-6.30801576289003,0.9911360042742161,-2.8536496481680373,0.03138416505010696,1.6,0.625
